Geneid	Symbol	Aged_GElaS
ENSMUSG00000024068.9	Spast	0.305731875641396
ENSMUSG00000024188.17	Luc7l	0.164730076818051
ENSMUSG00000027809.15	Etfdh	0.26703293026602
ENSMUSG00000062937.8	Mtap	0.148852278660034
ENSMUSG00000036528.17	Ppfibp2	0.583489427744314
ENSMUSG00000029466.12	Anapc7	0.179217366181747
ENSMUSG00000041837.5	Pdcd7	0.141544303270257
ENSMUSG00000046312.5	Myorg	0.646767086734811
ENSMUSG00000020585.5	Laptm4a	0.0257962830059689
ENSMUSG00000019470.13	Xab2	0.789234630518817
ENSMUSG00000048787.14	Dcun1d3	0.566866713739707
ENSMUSG00000038615.18	Nfe2l1	0.19154258254472
ENSMUSG00000038393.15	Txnip	1.60315615102388
ENSMUSG00000062901.4	Klhl24	0.901276115020526
ENSMUSG00000029001.16	Fbxo44	0.15043043861861
ENSMUSG00000039254.17	Pomt1	0.112250867992152
ENSMUSG00000020513.16	Tubd1	0.081996339616333
ENSMUSG00000050592.9	Fam78a	1.76591890133214
ENSMUSG00000051671.8	Coa6	0.167568690987983
ENSMUSG00000021548.11	Ccnh	0.0727432380255733
ENSMUSG00000034708.13	Grn	0.240361123885255
ENSMUSG00000002944.16	Cd36	0.901254382040146
ENSMUSG00000019797.12	Mtres1	0.114310256210013
ENSMUSG00000050043.17	Tmx2	0
ENSMUSG00000054708.18	Ankrd24	0.0610266939483398
ENSMUSG00000033502.16	Cdc14a	1.18541113180557
ENSMUSG00000024529.15	Lox	1.43823834186455
ENSMUSG00000035049.5	Rrp12	0
ENSMUSG00000027582.17	Zgpat	0.405018864881368
ENSMUSG00000061536.14	Sec22c	0.453954267927322
ENSMUSG00000043953.13	Ccrl2	1.3296680159689
ENSMUSG00000074064.7	Mlycd	0.18487357265231
ENSMUSG00000056537.12	Rlim	0.500870377495196
ENSMUSG00000040653.7	Ppp1r14c	0.0112066878823251
ENSMUSG00000031767.14	Nudt7	0.269356476685161
ENSMUSG00000032867.9	Fbxw8	0.103781027123544
ENSMUSG00000040943.13	Tet2	0.923303951261214
ENSMUSG00000062762.18	Ei24	0.0335178569041783
ENSMUSG00000006920.15	Ezh1	0.07273975152083
ENSMUSG00000014418.17	Hps5	0
ENSMUSG00000009035.16	Tmem184b	0.679696179494955
ENSMUSG00000031217.9	Efnb1	0.762441414129724
ENSMUSG00000042129.9	Rassf4	0.617333971975339
ENSMUSG00000033487.15	Fndc3a	0.552436215074196
ENSMUSG00000013150.16	Gfod2	0.154408374066006
ENSMUSG00000000275.17	Trim25	0.614006570354642
ENSMUSG00000036275.14	9530068E07Rik	0
ENSMUSG00000019804.13	Snx3	0.392004289963815
ENSMUSG00000024067.15	Dpy30	0.610699812076349
ENSMUSG00000050014.9	Apol10b	0.081985608138589
ENSMUSG00000023052.9	Npff	0.185439604716318
ENSMUSG00000030019.7	Fbxl14	0.615860502534002
ENSMUSG00000033416.16	Gucd1	0.15015616482218
ENSMUSG00000020525.18	Ppm1d	0.269854754173608
ENSMUSG00000038696.15	Mapkap1	0.267697330568728
ENSMUSG00000032602.7	Slc25a20	0.115447090684313
ENSMUSG00000022684.16	Bfar	0.069272819075163
ENSMUSG00000001576.16	Ergic1	0.300759186389081
ENSMUSG00000019849.12	Prep	0.0928481798507393
