Geneid	Symbol	Chow_GElaS
ENSMUSG00000031504.7	Rab20	0.034879726248345
ENSMUSG00000026622.16	Nek2	0
ENSMUSG00000066513.5	Klk1b4	0
ENSMUSG00000031683.17	Lsm6	0
ENSMUSG00000038193.5	Hand2	0.624504802431712
ENSMUSG00000024900.6	Cpt1a	2.69603676770353
ENSMUSG00000017707.10	Serinc3	1.15113913807973
ENSMUSG00000073988.14	Ttpa	1.33645519883775
ENSMUSG00000033256.15	Shf	0
ENSMUSG00000025815.14	Dhtkd1	0.996213525725702
ENSMUSG00000042202.16	Slc35e2	1.10651296878346
ENSMUSG00000031227.9	Magee1	0.126659398524614
ENSMUSG00000026131.21	Dst	0
ENSMUSG00000063929.7	Cyp4a32	1.36115185732739
ENSMUSG00000079012.12	Serpina3m	0.239319481460176
ENSMUSG00000001802.17	Lrp3	0
ENSMUSG00000004035.13	Gstm7	0.468703877343058
ENSMUSG00000037287.16	Tbcel	2.02672194940341
ENSMUSG00000024747.4	Aldh1a7	0.981904976975146
ENSMUSG00000024713.17	Pcsk5	0
ENSMUSG00000022040.9	Ephx2	0.482855826302073
ENSMUSG00000021806.5	Nid2	0.279889248946483
ENSMUSG00000034602.16	Mon2	0.0615078810028449
ENSMUSG00000042485.8	Mustn1	0.857386451342137
ENSMUSG00000062762.18	Ei24	0.385468693638853
ENSMUSG00000030691.16	Fchsd2	1.53218289563797
ENSMUSG00000021466.13	Ptch1	0.514339287018956
ENSMUSG00000028712.13	Cyp4a31	0.772637308855598
ENSMUSG00000072625.2	Gdf2	0.0592672812520053
ENSMUSG00000032528.6	Vipr1	1.49066763243867
ENSMUSG00000032540.17	Abhd5	0.972815463499924
ENSMUSG00000030588.13	Yif1b	0.13047345058235
ENSMUSG00000029416.18	Slc15a4	1.88028659013848
ENSMUSG00000032310.5	Cyp1a2	0.185346870820761
ENSMUSG00000029445.14	Hpd	0.681140255744742
ENSMUSG00000056492.7	Adgrf5	0.743407501607786
ENSMUSG00000059811.14	Atl2	1.99017797179401
ENSMUSG00000025933.16	Tmem14a	0.780307180216486
ENSMUSG00000020085.16	Aifm2	0.801994499314456
ENSMUSG00000020899.17	Pfas	0
ENSMUSG00000027346.16	Gpcpd1	2.98152390041966
ENSMUSG00000034708.13	Grn	1.15816541760083
ENSMUSG00000025184.11	R3hcc1l	0.272209561330897
ENSMUSG00000029833.18	Trim24	0.198701882619175
ENSMUSG00000021091.9	Serpina3n	0.986872877382847
ENSMUSG00000031349.5	Nsdhl	0.161357703418654
ENSMUSG00000069456.5	Rdh16	1.12399466571082
ENSMUSG00000026672.12	Optn	0.814489268408214
ENSMUSG00000035948.14	Acss3	0
ENSMUSG00000032080.7	Apoa4	0
ENSMUSG00000021038.18	Vipas39	1.00384313472301
ENSMUSG00000033306.16	Lpp	0.219540706299876
ENSMUSG00000022098.11	Bmp1	0.912988349313876
ENSMUSG00000041483.15	Zfp281	1.59627181314789
ENSMUSG00000040767.11	Snrnp25	0.0448234071065853
ENSMUSG00000002289.17	Angptl4	4.08133050344573
ENSMUSG00000026589.15	Sec16b	0.25481430035614
ENSMUSG00000029771.13	Irf5	0.523829377108457
ENSMUSG00000038422.3	Hdhd3	2.31266970913867
ENSMUSG00000117679.2	Apbb3	1.60476942591212
ENSMUSG00000042476.13	Abcb4	1.15540572476743
ENSMUSG00000090394.9	4930523C07Rik	1.10361876140667
ENSMUSG00000019951.11	Uhrf1bp1l	0.0169432389710712
ENSMUSG00000028300.15	C9orf72	1.6568147839309
ENSMUSG00000020737.13	Jpt1	0.38315746804784
ENSMUSG00000064294.13	Aox3	0.562286091730879
ENSMUSG00000030249.16	Abcc9	0.394937029908438
ENSMUSG00000039934.13	Gsap	1.28503927264902
ENSMUSG00000042510.8	AA986860	3.38905873021418
ENSMUSG00000030674.6	Qprt	0.44605490939233
ENSMUSG00000027752.16	Exosc8	0.30093098327767
ENSMUSG00000026097.10	Ormdl1	0.293693280521771
ENSMUSG00000028307.10	Aldob	0.20439606411689
ENSMUSG00000062908.13	Acadm	0.412147332910625
ENSMUSG00000020150.14	Gamt	0
ENSMUSG00000045094.9	Arhgef37	2.86270373692004
