Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000045309	HERPUD2	4.07836541228262	4.32155504528108	4.24118223569892
ENSMFAG00000043620	PDE8A	3.14373883014887	3.50979852270469	3.29678534287053
ENSMFAG00000031525	C10orf143	4.21339088838433	3.96044723456293	3.99161066680739
ENSMFAG00000029966	ARL4D	4.3347986756661	3.56782492499617	3.99354172654366
ENSMFAG00000034130	PHC3	1.8738530559311	2.411906783806	2.21236158857783
ENSMFAG00000043122	NDUFA9	4.81069802351022	4.52512623322753	4.50836941532358
ENSMFAG00000064358	H2BC5	3.99203327201059	3.36256902120152	3.39011109339142
ENSMFAG00000035492	BAD	5.08201878816966	4.80013061626428	4.96708465797273
ENSMFAG00000042220	NDUFB5	5.75755024956392	5.43566227411102	5.39707603781721
ENSMFAG00000034667	C1orf50	2.2527358947958	1.92923208951942	1.9845997380811
ENSMFAG00000030703	ARV1	3.14704361572253	2.82915222030738	2.89346914576398
ENSMFAG00000044774	ELL	2.25600107586411	2.76098632361671	2.58243641238664
ENSMFAG00000001847	""	2.33533567371825	1.8581433925364	1.83948014961149
ENSMFAG00000033687	POLR2F	3.32440522700697	3.11275595683696	3.24321162006518
ENSMFAG00000044289	NAV3	0.837343441924903	1.65377832435555	1.63412722588439
ENSMFAG00000033109	MGST1	9.10716792365473	8.4192375262426	8.31262083799801
ENSMFAG00000036404	C11orf24	4.7607568925738	4.33140571815109	4.51198429420201
ENSMFAG00000058913	TMEM230	3.62508800479051	3.37144355551967	3.31332251262273
ENSMFAG00000059933	GRPEL1	3.87804164323724	3.43718101482732	3.41075510228581
ENSMFAG00000043100	RPP40	3.17157158870397	2.76983993612343	2.85646447968362
ENSMFAG00000039005	""	2.36597779522423	1.80168430579932	2.10818323273991
ENSMFAG00000045386	ISCU	5.23682943041975	4.99205076492643	5.10975161807077
ENSMFAG00000032249	""	1.13730300142111	1.65036861095143	1.82399781115384
ENSMFAG00000044349	CCNQ	4.4752149164648	4.26007649435053	4.29955916154203
ENSMFAG00000001432	""	2.143194571213	2.52020337597427	2.39679476778702
ENSMFAG00000045124	UVSSA	1.3507594177524	1.87087527964416	1.87176224427004
ENSMFAG00000002360	CIB1	6.241427208976	5.96438395277303	6.04762208397859
ENSMFAG00000041215	PPIF	3.53878430665773	2.81075825315248	3.3644623082555
ENSMFAG00000035383	MRPS25	4.80526459019616	4.52780120996332	4.59483689479618
ENSMFAG00000030830	""	5.61197194509603	5.23723101439636	5.21143494228078
ENSMFAG00000045681	""	3.52201637006153	2.51299242494466	2.16848339064898
ENSMFAG00000001194	KHDRBS1	4.8704555506668	5.12751655298431	4.95536636477553
ENSMFAG00000053223	""	8.97113147506039	8.11494855100754	8.84172128973496
ENSMFAG00000034317	PPARG	6.68582658619275	6.09575627285281	6.14858438571307
ENSMFAG00000042901	TRPM6	-0.867869497184649	-0.161739820627943	-0.00319391125556623
ENSMFAG00000039726	""	1.91659869782994	2.57473704951131	2.78117782593384
ENSMFAG00000035374	CMC1	2.60932742150154	2.30410842802645	2.31194633529326
ENSMFAG00000037394	MRPL46	4.56721442790031	4.27475343194275	4.32264130559091
ENSMFAG00000052552	MRM2	3.63912610549632	3.3163816684837	3.44598334982597
ENSMFAG00000038541	POLE4	4.72513485708225	4.38122006637833	4.35174929203359
ENSMFAG00000033048	PTMS	9.76578215111299	9.43358744298399	9.52259274555002
ENSMFAG00000031617	ACOT2	3.21647120469954	2.76094584704448	2.97217869112296
ENSMFAG00000043437	BRWD3	1.11124253576481	1.62775618197377	1.54697684311034
ENSMFAG00000002554	HEG1	4.40275322212225	4.93624380879193	4.52403371887398
ENSMFAG00000043173	MRPL18	5.37960513973522	5.00984208036036	5.10490743052927
ENSMFAG00000002397	PSMD1	5.22372205276573	4.94513681900233	4.86430287657539
ENSMFAG00000045047	""	6.97802553858404	6.7233079515635	6.79905104426724
ENSMFAG00000036343	WDR61	3.09560327386377	2.80793635362665	2.75426804949698
ENSMFAG00000000879	CDC37L1	3.6226103432131	3.27248537416088	3.37165279182424
ENSMFAG00000002025	FLOT1	6.15670006750329	5.91335797768942	5.91073440693518
ENSMFAG00000000533	ARHGAP42	2.36070941640225	2.92568411876329	2.52645588837355
ENSMFAG00000036682	DNAJB6	4.94143355582774	4.66530551426343	4.61402791275481
