Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000034255.18	Arhgap27	2.41803840785106	3.19489976029427	2.74658274628936	0.654535125183863
ENSMUSG00000033917.16	Gde1	6.27840981022419	7.34825382466392	6.75581095732929	0.851037356050913
ENSMUSG00000024039.16	Cbs	0.0960566070841633	1.4515706523133	1.30876676734899	0.1169414655055
ENSMUSG00000059474.14	Mbtd1	0.827224104206111	1.38825645900199	0.984259393023662	0.572346150895051
ENSMUSG00000032324.12	Tspan3	5.48691523305256	5.02108766262945	5.07328367562337	0.051921615378863
ENSMUSG00000023075.10	Akirin1	4.53254618700665	4.07468516343176	4.58601105700187	0.847519726010836
ENSMUSG00000031703.9	Itfg1	3.14486259048427	2.79663768073197	2.87347081946385	0.0749696515567626
ENSMUSG00000020407.14	Upp1	0.900575064317767	1.97056002384324	1.30165913296933	0.962208099017426
ENSMUSG00000039652.17	Cpeb3	1.99556238279865	1.19304433007572	2.12194327813813	1.28505731872473
ENSMUSG00000030587.6	2200002D01Rik	1.14786278768621	2.26789879292074	1.50921056622225	1.14349992549953
ENSMUSG00000028664.15	Ephb2	0.410169518378866	-1.26460605889116	0.189244812798856	1.53524389228065
ENSMUSG00000005873.7	Reep5	7.15754661669202	6.51698872378968	6.53384508719203	0.0167987735392528
ENSMUSG00000078350.12	Smim1	3.85279583789352	2.79928167772419	3.51875342923728	1.14607880017553
ENSMUSG00000039202.13	Abhd2	2.55195759467494	3.39278648023438	2.53310611689716	1.56355352576553
ENSMUSG00000031299.11	Pdha1	7.03148726716561	6.38097351991525	6.59883628948494	0.243868630067384
ENSMUSG00000070495.12	Ctcfl	0.211516485921137	1.2948733584833	0.453400822124588	1.18357573756925
ENSMUSG00000032083.9	Apoa1	-1.15143686342992	0.779766913752785	-0.11213596063111	0.823177334007884
ENSMUSG00000019256.18	Ahr	1.0666120121182	1.98674218507479	1.75621839850521	0.218767121296967
ENSMUSG00000030753.16	Thap12	4.68857830447356	4.34853575854065	4.5081861986789	0.203837180854474
ENSMUSG00000001082.13	Mfsd10	3.06227000880939	3.40631217024202	3.12968294558513	0.475669914620227
ENSMUSG00000030842.13	Lamtor1	5.31238199788774	4.4443696149458	4.97583081178109	0.841163110917143
ENSMUSG00000029073.10	Cptp	2.40802471256417	1.68852833590181	2.48586956668128	1.22786210226179
ENSMUSG00000044674.7	Fzd1	3.46414222665376	4.10284406466151	3.21305556464426	1.06142414225795
ENSMUSG00000039760.9	Il22ra2	-1.30385722880739	0.462159617127442	-0.275901829869642	0.702775732264912
ENSMUSG00000026175.13	Vil1	-0.440955041154974	1.58569217278972	0.787523246259509	0.796164245022491
ENSMUSG00000043342.10	Hoxd9	2.10404362286971	2.79032634411838	2.39991878500583	0.557535563275596
ENSMUSG00000069833.14	Ahnak	6.02215826432152	5.25527280817127	5.65154267098124	0.540318599809554
ENSMUSG00000034263.14	Ints14	3.30209050325954	2.93651941404743	3.22614980458703	0.491312480108916
ENSMUSG00000060675.14	Plaat3	6.85302136194275	6.01620233358222	6.15431038019798	0.140083703080756
ENSMUSG00000027746.14	Ufm1	3.63727421056053	3.23028441853619	3.396077281032	0.190669958374557
ENSMUSG00000048911.16	Rnf24	2.43534512289248	1.43929571754875	2.41439457611214	1.70609199853027
ENSMUSG00000035401.10	Emsy	0.894526268806411	1.19733694434973	0.984793355822427	0.294141595089124
ENSMUSG00000039621.14	Prex1	0.643846964902562	1.64489479231104	1.21960505630457	0.456042448451503
ENSMUSG00000022220.15	Adcy4	3.20194380335476	4.11179681023488	3.65596892606597	0.600799939993603
ENSMUSG00000028049.16	Scamp3	4.82148027495058	4.47822909281769	4.674689631622	0.291304896094033
ENSMUSG00000054196.8	Cthrc1	-0.408879875200734	0.603868252200115	0.178045686764907	0.39006413452474
ENSMUSG00000021368.16	Tbc1d7	1.61972562293792	0.921389347785192	1.11894204181212	0.167532903876724
ENSMUSG00000022724.16	Riox2	2.35932753854107	1.94395163746543	2.20796786959955	0.387615226922459
