Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean	GElaS
ENSMFAG00000043417	NRCAM	0.314028459842206	1.39555295071352	0.755526691231785	0.613148531255435
ENSMFAG00000039368	COX17	5.09412558802357	4.68123682545681	4.86637439320886	0.206927623379464
ENSMFAG00000049814	""	-0.35657417671881	0.180078791071765	-0.0920853755429391	0.229483203238907
ENSMFAG00000040803	PSMB5	5.29192102658295	5.074853488923	5.17599957793681	0.114012175886474
ENSMFAG00000045469	XRCC3	1.55748300684634	1.26092724606366	1.34498554780226	0.0773600330721502
ENSMFAG00000000437	CAT	7.41976275134226	7.71275116355272	7.51169737836911	0.268262564688052
ENSMFAG00000034580	PSMC4	4.42676023503011	4.2539806074236	4.38576970965323	0.188284949637462
ENSMFAG00000001006	MRPS11	4.52773793386907	4.27779524629974	4.51033675704866	0.400784800536825
ENSMFAG00000034696	NEGR1	1.91666704398861	2.30544232348814	2.26509632786152	0.0302828664596029
ENSMFAG00000035695	PCDH1	2.62707614451817	3.13771429577511	3.0104092343784	0.122072261670874
ENSMFAG00000042972	FAM136A	2.15755884982763	1.882589546594	2.08603351685443	0.248920560380599
ENSMFAG00000059302	NUDT4	4.62075770893037	4.93313665753165	4.88298409833406	0.0497174550793427
ENSMFAG00000043515	IL15	1.79493412617763	1.47765690091782	1.58533739941075	0.102359771455215
ENSMFAG00000043873	IQSEC1	3.49170051717902	3.79906100374806	3.68279656547178	0.123085495424052
ENSMFAG00000046010	""	1.48222992340551	0.495393668350376	1.51283849963532	1.40615503642507
ENSMFAG00000042139	EDA	0.159287780450531	0.778713092218681	0.447059552823778	0.288448187185651
ENSMFAG00000013223	RMI1	1.25463826149311	1.00612989399959	1.14255058480091	0.135192896412861
ENSMFAG00000039420	RARS2	2.68405464396636	2.89976916408945	2.80092470382725	0.106702606371499
ENSMFAG00000045947	GPR107	3.84236295561277	4.06770568886969	3.92131739478227	0.186243032966731
ENSMFAG00000033162	MINDY2	2.69912880276637	3.09889544675694	2.66790820344118	0.700637980996806
ENSMFAG00000031142	CAB39L	3.0687183570426	3.37224179446512	3.02567666141038	0.539983544465183
ENSMFAG00000046281	MRPL37	4.29447070796508	4.12088568990265	4.12436081411814	0.00337345689056592
ENSMFAG00000041379	ARID5A	3.16633557845491	3.70990136083242	3.56818838608446	0.143819539458468
ENSMFAG00000034548	""	0.479719016857847	0.885298286430777	0.771001070905552	0.0924950416732419
ENSMFAG00000053874	CCDC117	3.01550521726568	2.83813881535208	2.88451229133488	0.0457442093787828
ENSMFAG00000042579	ANTKMT	5.33726480665651	5.00800644487056	5.14951900513274	0.158911581870193
ENSMFAG00000041042	SIN3A	3.12558187625691	3.37373799597286	3.11944594778587	0.444773678174839
ENSMFAG00000036184	""	-0.34403707748771	0.25988859522572	-0.247732178310664	0.607809276424564
ENSMFAG00000045257	ATP2B1	3.70389950814269	4.115882098056	3.99755866221417	0.119193368044832
ENSMFAG00000034167	SAP130	2.47759273613784	2.65973614074647	2.52296464936077	0.179595873580408
ENSMFAG00000062333	PAWR	2.95346100650073	3.4591073686974	2.94236395797092	0.889201500516418
ENSMFAG00000041936	SLC25A43	4.26700713275415	4.06419892018415	3.96129611734964	0
ENSMFAG00000038054	EMC7	4.70112822050956	4.49007301982088	4.57974235733012	0.0982615299890571
ENSMFAG00000033118	ASPN	4.85051490542044	5.3577757005251	4.97371650945988	0.554490874445963
ENSMFAG00000042286	KDELR3	4.57785299346124	4.2439314989995	4.35488475202233	0.115524713383758
ENSMFAG00000037972	MTRF1	2.57620519958992	2.36793288848703	2.47531205924478	0.115213633623414
ENSMFAG00000034647	OCLN	1.23582006868806	1.84911022001977	1.15492825341131	0.962553197745265
ENSMFAG00000062839	REP15	1.751173767938	1.24265576872728	1.23794118428776	0.00201117457456803
ENSMFAG00000001353	UTP25	2.54166355747289	2.79039769911249	2.64132123577847	0.166481568908538
ENSMFAG00000046193	COX7A2	6.16501121321917	5.85818835973093	5.94743481784012	0.0924611409799257
ENSMFAG00000032386	KHK	2.54361076330936	2.2257982360615	2.57074831726818	0.561841324510286
ENSMFAG00000052836	HNRNPDL	6.56015811702876	6.79638777256481	6.72863190207387	0.0703582116803338
